"gender","access","wfh_freq","mean_wfc","se_wfc","n","lower","upper"
"Male","Low","Never",2.18081453121296,0.0186534210404625,8337,2.14425382597366,2.21737523645227
"Male","Low","Rarely/
sometimes",2.32796239543215,0.0504112605627473,1184,2.22915632472916,2.42676846613513
"Male","Low","Often/
always",2.33975920482187,0.0739755375178751,578,2.19476715128684,2.48475125835691
"Male","High","Never",2.24852137168083,0.0344756059699388,2898,2.18094918397975,2.31609355938191
"Male","High","Rarely/
sometimes",2.4252912057909,0.0353541614722978,2166,2.3559970493052,2.4945853622766
"Male","High","Often/
always",2.33646472012404,0.0449017384830997,1735,2.24845731269717,2.42447212755092
"Female","Low","Never",2.30580647220951,0.021719550967614,9257,2.26323615231299,2.34837679210604
"Female","Low","Rarely/
sometimes",2.50915805601578,0.0443223215717575,1504,2.42228630573513,2.59602980629642
"Female","Low","Often/
always",2.64148354917904,0.0647679471397819,858,2.51453837278506,2.76842872557301
"Female","High","Never",2.20019469474394,0.0387292322524449,2390,2.12428539952915,2.27610398995873
"Female","High","Rarely/
sometimes",2.44655359774399,0.0423166104091544,1710,2.36361304134205,2.52949415414594
"Female","High","Often/
always",2.42489956016026,0.0428367311094835,1873,2.34093956718567,2.50885955313484
