"wfh_freq_c","mean","std.error","conf.low","conf.high","access","gender"
0,2.37802560818431,0.0414259057625179,2.29682433047565,2.45922688589296,"Low","Male"
0,2.44138854487265,0.0410462870574878,2.36093137941268,2.52184571033262,"Low","Female"
0,2.49923760822875,0.0448821350533191,2.41126157860337,2.58721363785414,"High","Male"
0,2.5227840790248,0.0459876710678403,2.43264102528058,2.61292713276903,"High","Female"
1,2.45892823229827,0.0418751941490401,2.37684627882952,2.54101018576702,"Low","Male"
1,2.56182213372394,0.0410460035651296,2.48136552395349,2.64227874349439,"Low","Female"
1,2.52167542467534,0.0422124745438003,2.43893234869166,2.60441850065901,"High","Male"
1,2.55220364304769,0.0428463013963198,2.46821816694449,2.63618911915088,"High","Female"
2,2.53983085641223,0.0465454386215083,2.44859449071288,2.63106722211159,"Low","Male"
2,2.68225572257523,0.0439891613124794,2.59603006164744,2.76848138350302,"Low","Female"
2,2.54411324112192,0.0425672412793691,2.4606747666506,2.62755171559324,"High","Male"
2,2.58162320707057,0.0425041890526821,2.49830832486054,2.6649380892806,"High","Female"
3,2.6207334805262,0.0543593927724675,2.51418053817425,2.72728642287815,"Low","Male"
3,2.80268931142652,0.0493519340464565,2.70595177417293,2.89942684868012,"Low","Female"
3,2.5665510575685,0.0458763241336909,2.47662626129278,2.65647585384423,"High","Male"
3,2.61104277109346,0.0450251876319183,2.52278633595978,2.69929920622713,"High","Female"
4,2.70163610464016,0.0641788833136585,2.5758354195119,2.82743678976842,"Low","Male"
4,2.92312290027781,0.0564488764469234,2.81247424194829,3.03377155860734,"Low","Female"
4,2.58898887401509,0.0515741627635519,2.48789541966403,2.69008232836615,"High","Male"
4,2.64046233511634,0.0499778935744016,2.54249781893429,2.7384268512984,"High","Female"
